,entities,headline,url,website
0,[],What you need to know,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,CNN
1,"[('tonight', 'TIME'), ('Pelosi', 'ORG')]","No deal reached tonight on coronavirus response package, Pelosi says",https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,CNN
2,"[('Billie Eilish', 'PERSON')]",Singer Billie Eilish postpones tour dates over coronavirus outbreak,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,CNN
3,"[('CNN', 'ORG')]",SOON: CNN's coronavirus town hall,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,CNN
4,"[('Disney World', 'ORG'), ('Disneyland Paris Resort', 'ORG')]","Disney World, Disneyland Paris Resort to close over coronavirus concerns",https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,CNN
5,"[('Pennsylvania Department of Corrections', 'ORG'), ('tomorrow', 'DATE')]",Pennsylvania Department of Corrections suspending most prison visits starting tomorrow,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,CNN
6,"[('New Mexico', 'GPE'), ('3 weeks', 'DATE')]",New Mexico to close all K-12 public schools for 3 weeks,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,CNN
7,"[('NBA', 'ORG'), ('Cleveland Cavaliers', 'ORG')]",NBA's Cleveland Cavaliers to compensate all stadium employees regular wages,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,CNN
8,"[('Kansas', 'GPE'), ('first', 'ORDINAL')]",Kansas announces first coronavirus death,https://www.cnn.com/world/live-news/coronavirus-outbreak-03-12-20-intl-hnk/index.html,CNN
9,"[('Americans', 'NORP'), ('100,000-240,000', 'CARDINAL'), ('Trump', 'PERSON'), (""two weeks'"", 'DATE')]","Americans told to prepare for 100,000-240,000 coronavirus deaths as Trump predicts 'very painful two weeks'",https://www.nbcnews.com/health/coronavirus,NBC
10,"[('NBC News', 'ORG'), ('Savannah Guthrie', 'PERSON'), ('Hoda Kotb', 'PERSON')]","Watch live / 'Coronavirus Pandemic,' an NBC News special report hosted by Savannah Guthrie and Hoda Kotb",https://www.nbcnews.com/health/coronavirus,NBC
